author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;district;street;house_number;underground;residential_complex
Абсолют Недвижимость;developer;https://www.cian.ru/sale/flat/307207771/;Москва;sale;flat;5;19;1;26.4;7208692.0;;;;;Город-парк Первый Московский
Apsis Globe;developer;https://www.cian.ru/sale/flat/296192836/;Москва;sale;flat;3;9;-1;26.83;7163610.0;Косино-Ухтомский; Николая Старостина;14;Реутов;МФК CITIMIX Новокосино
Основа;developer;https://www.cian.ru/sale/flat/287742393/;Москва;sale;flat;3;20;-1;26.15;7269700.0;Северный;Новодачная ;67/68;Новодачная;ФизтехСити
ПИК;developer;https://www.cian.ru/sale/flat/307731571/;Москва;sale;flat;18;19;1;20.0;7298639.0;Митино;Северо-Западный ао;2.4;Пятницкое шоссе;Митинский Лес ЖК
Самолет;developer;https://www.cian.ru/sale/flat/307021659/;Москва;sale;flat;2;10;1;22.6;7265658.0;;;к9;Щербинка;Алхимово ЖК
ФСК;developer;https://www.cian.ru/sale/flat/307015564/;Москва;sale;flat;3;15;-1;28.47;7252442.0;;;к2;Солнцево;Движение. Говорово ЖК
А101;developer;https://www.cian.ru/sale/flat/307282115/;Москва;sale;flat;6;9;1;24.5;7297276.0;;;к1.2;Бунинская аллея;Бунинские Кварталы ЖК
А101;developer;https://www.cian.ru/sale/flat/306747923/;Москва;sale;flat;5;9;1;26.5;7275640.0;;;5.1;Бунинская аллея;Бунинские Кварталы ЖК
А101;developer;https://www.cian.ru/sale/flat/306743968/;Москва;sale;flat;9;18;1;21.7;7296000.0;;;1.3;Новомосковская;Дзен-кварталы ЖК
А101;developer;https://www.cian.ru/sale/flat/306740238/;Москва;sale;flat;6;30;1;22.4;7258285.0;Южное Бутово;к2.3;к2.3;Бунинская аллея;Южные Сады ЖК
Новые Ватутинки;developer;https://www.cian.ru/sale/flat/297843320/;Москва;sale;flat;2;8;1;25.8;7275600.0;;;;Ольховая;Новые Ватутинки, мкр. Центральный
Колди;developer;https://www.cian.ru/sale/flat/304735449/;Москва;sale;flat;3;21;-1;24.77;7271491.0;Нижегородский;;;Калитники;Н'айс Лофт ЖК
Apsis Globe;developer;https://www.cian.ru/sale/flat/302982375/;Москва;sale;flat;20;21;-1;25.76;7289283.0;Тропарево-Никулино;Востряковское шоссе;7с6;Озёрная;Комплекс апартаментов CITIMIX
ID 91471138;realtor;https://www.cian.ru/sale/flat/304345077/;Москва;sale;flat;7;16;1;21.4;7250000.0;;;5с1;Румянцево;Тропарево Парк
Абсолют Недвижимость;developer;https://www.cian.ru/sale/flat/304056960/;Москва;sale;flat;8;19;1;22.8;7253007.0;;;к2;Филатов Луг;Город-парк Первый Московский
ПИК;developer;https://www.cian.ru/sale/flat/306939079/;Москва;sale;flat;2;24;1;20.1;7319133.0;Текстильщики;Юго-Восточный ао;;Стахановская;Волжский Парк ЖК
