author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;district;street;house_number;underground;residential_complex
ПИК;developer;https://www.cian.ru/sale/flat/300864154/;Москва;sale;flat;6;19;1;24.3;7348417.0;Гольяново;;6/8;Черкизовская;2-й Иртышский ЖК
ПИК;developer;https://www.cian.ru/sale/flat/302819563/;Москва;sale;flat;8;30;1;22.9;7348518.0;Гольяново;;1.3;Черкизовская;2-й Иртышский ЖК
Самолет;developer;https://www.cian.ru/sale/flat/307009631/;Москва;sale;flat;15;15;1;23.48;7301838.0;Молжаниновский;Северный ао;к6;Новоподрезково;Молжаниново ЖК
ПИК;developer;https://www.cian.ru/sale/flat/306208267/;Москва;sale;flat;4;24;1;20.1;7346871.0;Западное Дегунино;проезд Проектируемый № 7536;;Речной вокзал;Бусиновский парк
Самолет;developer;https://www.cian.ru/sale/flat/307321699/;Москва;sale;flat;5;10;1;21.77;7325388.0;;;к21;Рассказовка;Новое Внуково ЖК
ПИК;developer;https://www.cian.ru/sale/flat/306255179/;Москва;sale;flat;19;19;1;21.9;7328046.0;Митино;Северо-Западный ао;2.4;Пятницкое шоссе;Митинский Лес ЖК
А101;developer;https://www.cian.ru/sale/flat/306747839/;Москва;sale;flat;15;15;1;23.8;7317691.0;;;к1.2;Бунинская аллея;Бунинские Кварталы ЖК
А101;developer;https://www.cian.ru/sale/flat/306747903/;Москва;sale;flat;18;19;1;23.9;7337706.0;;;к2.3;Бунинская аллея;Бунинские Кварталы ЖК
А101;developer;https://www.cian.ru/sale/flat/306746544/;Москва;sale;flat;6;20;1;20.9;7300955.0;;;6.1;Улица Горчакова;Бунинские Кварталы ЖК
А101;developer;https://www.cian.ru/sale/flat/306742735/;Москва;sale;flat;15;16;1;20.2;7346760.0;;;к11;Прокшино;Прокшино ЖК
А101;developer;https://www.cian.ru/sale/flat/306737525/;Москва;sale;flat;6;16;1;24.1;7337120.0;;м. Бунинская аллея;;Бунинская аллея;Скандинавия
;;https://www.cian.ru/sale/flat/294904348/;Москва;sale;flat;5;18;-1;23.8;7348250.0;Останкинский;Березовая аллея;19к4;Ботанический сад;Апарт-комплекс Легендарный квартал
Новые Ватутинки;developer;https://www.cian.ru/sale/flat/297844023/;Москва;sale;flat;12;14;1;25.4;7330440.0;; 3-я Нововатутинская;15к1;Кедровая;Новые Ватутинки, мкр. Центральный
Основа;developer;https://www.cian.ru/sale/flat/306637352/;Москва;sale;flat;14;20;-1;24.5;7448000.0;Северный;Новодачная ;67/68;Новодачная;ФизтехСити
Основа;developer;https://www.cian.ru/sale/flat/299290843/;Москва;sale;flat;4;20;-1;26.15;7426600.0;Северный;Долгопрудненское шоссе;3А;Новодачная;ФизтехСити
ПИК;developer;https://www.cian.ru/sale/flat/307787372/;Москва;sale;flat;27;32;1;20.0;7445579.0;Митино;Северо-Западный ао;2.2;Пятницкое шоссе;Митинский Лес ЖК
ПИК;developer;https://www.cian.ru/sale/flat/307619670/;Москва;sale;flat;21;30;1;24.0;7405632.0;Гольяново;;1.3;Черкизовская;2-й Иртышский ЖК
Самолет;developer;https://www.cian.ru/sale/flat/307009370/;Москва;sale;flat;16;16;1;25.91;7372721.0;Молжаниновский;Северный ао;к5;Новоподрезково;Молжаниново ЖК
ПИК;developer;https://www.cian.ru/sale/flat/304888718/;Москва;sale;flat;7;30;1;20.5;7378032.0;Гольяново;;1.3;Черкизовская;2-й Иртышский ЖК
Самолет;developer;https://www.cian.ru/sale/flat/307021635/;Москва;sale;flat;3;15;1;22.54;7400486.0;;;к11;Щербинка;Алхимово ЖК
Самолет;developer;https://www.cian.ru/sale/flat/307021624/;Москва;sale;flat;2;9;1;25.33;7352716.0;;;15;Щербинка;Алхимово ЖК
ПИК;developer;https://www.cian.ru/sale/flat/306208107/;Москва;sale;flat;15;32;1;20.82;7408921.0;Западное Дегунино;Северный ао;1.4;Речной вокзал;Бусиновский Парк ЖК
ПИК;developer;https://www.cian.ru/sale/flat/306207718/;Москва;sale;flat;5;32;1;20.9;7447004.0;Западное Дегунино;Северный ао;;Речной вокзал;Бусиновский Парк ЖК
ПИК;developer;https://www.cian.ru/sale/flat/306384114/;Москва;sale;flat;4;24;1;23.4;7390562.0;Западное Дегунино;Северный ао;;Речной вокзал;Бусиновский Парк ЖК
Самолет;developer;https://www.cian.ru/sale/flat/307321696/;Москва;sale;flat;5;10;1;21.55;7370684.0;;;к19;Рассказовка;Новое Внуково ЖК
Самолет;developer;https://www.cian.ru/sale/flat/307018043/;Москва;sale;flat;7;9;1;21.74;7365092.0;;;к20;Рассказовка;Новое Внуково ЖК
Самолет;developer;https://www.cian.ru/sale/flat/307018088/;Москва;sale;flat;9;10;1;21.69;7437041.0;;;к17;Рассказовка;Новое Внуково ЖК
ПИК;developer;https://www.cian.ru/sale/flat/306979495/;Москва;sale;flat;7;14;-1;23.8;7399396.0;Тимирязевский;к3.5;к3.5;Окружная;Большая Академическая 85 ЖК
ЛСР;developer;https://www.cian.ru/sale/flat/295834912/;Москва;sale;flat;19;23;1;21.5;7443794.0;Чертаново Центральное;;2;Пражская;Парксайд ЖК
Новые Ватутинки;developer;https://www.cian.ru/sale/flat/306088239/;Москва;sale;flat;2;9;1;23.5;;;;;Кедровая;Новые Ватутинки, мкр. Заречный
ЛСР;developer;https://www.cian.ru/sale/flat/303230375/;Москва;sale;flat;2;24;1;22.9;7440828.0;Солнцево;Производственная ;;Солнцево;Лучи
А101;developer;https://www.cian.ru/sale/flat/306746487/;Москва;sale;flat;8;8;1;22.7;7416067.0;;;6.1;Улица Горчакова;Бунинские Кварталы ЖК
А101;developer;https://www.cian.ru/sale/flat/306742737/;Москва;sale;flat;12;16;1;20.7;7419149.0;;;к11;Прокшино;Прокшино ЖК
А101;developer;https://www.cian.ru/sale/flat/306742998/;Москва;sale;flat;13;13;1;20.5;7433054.0;;;к11.2.1;Прокшино;Прокшино ЖК
А101;developer;https://www.cian.ru/sale/flat/306744193/;Москва;sale;flat;2;9;1;24.4;7397690.0;;;6.1.1;Новомосковская;Дзен-кварталы ЖК
А101;developer;https://www.cian.ru/sale/flat/306737386/;Москва;sale;flat;13;16;1;22.6;7354472.0;;м. Бунинская аллея;;Бунинская аллея;Скандинавия
Apsis Globe;developer;https://www.cian.ru/sale/flat/296192799/;Москва;sale;flat;2;9;-1;27.81;7397460.0;Косино-Ухтомский; Николая Старостина;14;Реутов;МФК CITIMIX Новокосино
;;https://www.cian.ru/sale/flat/299212794/;Москва;sale;flat;5;17;-1;23.5;7354330.0;Останкинский;Березовая аллея;19к6;Ботанический сад;Апарт-комплекс Легендарный квартал
Колди;developer;https://www.cian.ru/sale/flat/304735631/;Москва;sale;flat;3;21;-1;26.68;7413475.0;Нижегородский;Автомобильный проезд;4;Калитники;N’ice Loft
Колди;developer;https://www.cian.ru/sale/flat/307511116/;Москва;sale;flat;4;21;-1;23.69;7369286.0;Нижегородский;;;Калитники;Н'айс Лофт ЖК
Абсолют Недвижимость;developer;https://www.cian.ru/sale/flat/307596609/;Москва;sale;flat;2;17;1;21.6;7369770.0;;;;Мичуринец;Переделкино Ближнее Город-парк
Новые Ватутинки;developer;https://www.cian.ru/sale/flat/306089701/;Москва;sale;flat;9;14;1;25.4;7416320.0;; 3-я Нововатутинская;15к3;Кедровая;Новые Ватутинки, мкр. Центральный
Абсолют Недвижимость;developer;https://www.cian.ru/sale/flat/307207791/;Москва;sale;flat;9;19;1;26.5;7379269.0;;;;;Город-парк Первый Московский
Основа;developer;https://www.cian.ru/sale/flat/306028235/;Москва;sale;flat;3;20;-1;26.75;7490000.0;Северный;Долгопрудненское шоссе;3А;Новодачная;ФизтехСити
ПИК;developer;https://www.cian.ru/sale/flat/306255659/;Москва;sale;flat;18;19;1;20.0;7495799.0;Митино;Северо-Западный ао;2.3;Пятницкое шоссе;Митинский Лес ЖК
Самолет;developer;https://www.cian.ru/sale/flat/307021677/;Москва;sale;flat;14;15;1;25.74;7451210.0;;;14;Щербинка;Алхимово ЖК
ПИК;developer;https://www.cian.ru/sale/flat/306207152/;Москва;sale;flat;2;32;1;22.0;7464512.0;Западное Дегунино;Северный ао;;Речной вокзал;Бусиновский Парк ЖК
Самолет;developer;https://www.cian.ru/sale/flat/307018059/;Москва;sale;flat;3;10;1;21.76;7472078.0;;;к18;Рассказовка;Новое Внуково ЖК
Самолет;developer;https://www.cian.ru/sale/flat/307552131/;Москва;sale;flat;1;14;1;31.0;7465859.0;; Логинова;7к2;Щербинка;Остафьево
А101;developer;https://www.cian.ru/sale/flat/306747030/;Москва;sale;flat;13;17;1;20.4;7471276.0;;;к3.4;Бунинская аллея;Бунинские Кварталы ЖК
А101;developer;https://www.cian.ru/sale/flat/306744075/;Москва;sale;flat;3;8;1;25.4;7489119.0;;;4.3;Новомосковская;Дзен-кварталы ЖК
А101;developer;https://www.cian.ru/sale/flat/306743300/;Москва;sale;flat;10;24;1;21.6;7485782.0;;;3.1;Новомосковская;Дзен-кварталы ЖК
;;https://www.cian.ru/sale/flat/299212901/;Москва;sale;flat;5;18;-1;24.5;7490880.0;Останкинский;Березовая аллея;19к4;Ботанический сад;Апарт-комплекс Легендарный квартал
Новые Ватутинки;developer;https://www.cian.ru/sale/flat/306089698/;Москва;sale;flat;6;14;1;25.4;7470140.0;;;;Ольховая;Новые Ватутинки, мкр. Центральный
Колди;developer;https://www.cian.ru/sale/flat/304735627/;Москва;sale;flat;8;21;-1;23.76;7483302.0;Нижегородский;Автомобильный проезд;4;Калитники;N’ice Loft
Основа;developer;https://www.cian.ru/sale/flat/293007207/;Москва;sale;flat;16;36;-1;19.9;;Ярославский;проспект Мира;222;Ростокино;МИРАПОЛИС
ПИК;developer;https://www.cian.ru/sale/flat/306981089/;Москва;sale;flat;23;33;1;20.4;7573622.0;Алтуфьевский;;2.2;Дегунино;Алтуфьевское 53 ЖК
ПИК;developer;https://www.cian.ru/sale/flat/306980970/;Москва;sale;flat;21;33;1;20.5;7545926.0;Алтуфьевский;;2.2;Дегунино;Алтуфьевское 53 ЖК
Самолет;developer;https://www.cian.ru/sale/flat/307326915/;Москва;sale;flat;5;7;1;26.5;7559355.0;;;3;Рассказовка;Квартал Западный ЖК
ПИК;developer;https://www.cian.ru/sale/flat/307597074/;Москва;sale;flat;5;17;1;19.0;7588219.0;Москворечье-Сабурово;;1.3;Каширская;Москворечье ЖК
Самолет;developer;https://www.cian.ru/sale/flat/307021682/;Москва;sale;flat;14;15;1;21.72;7537624.0;;;14;Щербинка;Алхимово ЖК
Самолет;developer;https://www.cian.ru/sale/flat/307021598/;Москва;sale;flat;12;15;1;27.04;7527164.0;;;к10;Щербинка;Алхимово ЖК
ПИК;developer;https://www.cian.ru/sale/flat/306208103/;Москва;sale;flat;10;32;1;19.98;7595277.0;Западное Дегунино;Северный ао;1.4;Речной вокзал;Бусиновский Парк ЖК
ПИК;developer;https://www.cian.ru/sale/flat/306206943/;Москва;sale;flat;6;32;1;24.5;7589218.0;Западное Дегунино;Северный ао;;Речной вокзал;Бусиновский Парк ЖК
ПИК;developer;https://www.cian.ru/sale/flat/306579046/;Москва;sale;flat;12;24;1;23.5;7528084.0;Западное Дегунино;Северный ао;;Речной вокзал;Бусиновский Парк ЖК
Самолет;developer;https://www.cian.ru/sale/flat/307017912/;Москва;sale;flat;8;9;1;26.57;7575513.0;;;к23;Рассказовка;Новое Внуково ЖК
А101;developer;https://www.cian.ru/sale/flat/306748103/;Москва;sale;flat;5;9;1;24.6;7559726.0;;;5.1;Бунинская аллея;Бунинские Кварталы ЖК
;;https://www.cian.ru/sale/flat/298480976/;Москва;sale;flat;3;25;1;26.07;7596798.0;Люблино;Юго-Восточный ао;к8;Братиславская;Светлый Мир Станция Л ЖК
А101;developer;https://www.cian.ru/sale/flat/306743090/;Москва;sale;flat;9;16;1;21.4;7592908.0;;;3.3;Новомосковская;Дзен-кварталы ЖК
А101;developer;https://www.cian.ru/sale/flat/306743523/;Москва;sale;flat;2;12;1;24.6;7593110.0;;;3.2;Новомосковская;Дзен-кварталы ЖК
А101;developer;https://www.cian.ru/sale/flat/306738929/;Москва;sale;flat;11;18;1;21.8;7580246.0;;;37.2.1;Бунинская аллея;Скандинавия ЖК
Абсолют Недвижимость;developer;https://www.cian.ru/sale/flat/307207618/;Москва;sale;flat;5;19;1;26.4;7582318.0;;;;Филатов Луг;Первый Московский ЖК
ID 75906005;realtor;https://www.cian.ru/sale/flat/307800247/;Москва;sale;flat;12;18;1;21.6;7500000.0;Солнцево;;;Солнцево;Лучи
ПИК;developer;https://www.cian.ru/sale/flat/305377771/;Москва;sale;flat;11;17;1;20.2;7614188.0;Люблино;14.6;14.6;Братиславская;Люблинский парк ЖК
Аквилон;developer;https://www.cian.ru/sale/flat/304055377/;Москва;sale;flat;6;23;-1;25.7;7625344.0;Отрадное;Сигнальный проезд;12;Владыкино;Akvilon Signal
Самолет;developer;https://www.cian.ru/sale/flat/307018102/;Москва;sale;flat;3;10;1;25.45;7644847.0;;;к21;Рассказовка;Новое Внуково ЖК
ЛСР;developer;https://www.cian.ru/sale/flat/304715554/;Москва;sale;flat;10;23;1;20.4;7606017.0;Чертаново Центральное;;2;Пражская;Парксайд ЖК
ЛСР;developer;https://www.cian.ru/sale/flat/295834755/;Москва;sale;flat;12;23;1;20.9;7635961.0;Чертаново Центральное;;2;Пражская;Парксайд ЖК
А101;developer;https://www.cian.ru/sale/flat/306746489/;Москва;sale;flat;4;8;1;24.4;7616631.0;;;6.1;Улица Горчакова;Бунинские Кварталы ЖК
А101;developer;https://www.cian.ru/sale/flat/306738649/;Москва;sale;flat;8;18;1;21.6;7616009.0;;;37.2.2;Бунинская аллея;Скандинавия ЖК
А101;developer;https://www.cian.ru/sale/flat/306738931/;Москва;sale;flat;2;18;1;24.0;7637926.0;;;37.2.1;Бунинская аллея;Скандинавия ЖК
Колди;developer;https://www.cian.ru/sale/flat/304735710/;Москва;sale;flat;2;21;-1;25.97;7608747.0;Нижегородский;Автомобильный проезд;4;Калитники;N’ice Loft
МонАрх;developer;https://www.cian.ru/sale/flat/307005806/;Москва;sale;flat;2;30;-1;22.9;7637150.0;Черемушки; Наметкина;10Д;Воронцовская;Комплекс апартаментов AIST RESIDENCE
